fecha,estacion,comuna,mp25,estado_registro,nivel_calidad_aire,mes,dia_semana,mp25_dia_anterior,mp25_promedio_7d,nivel_calidad_aire_dia_siguiente
2022-03-26,Puente Alto,Puente Alto,23.0,validado,buena,3,5,18.0,14.86,buena
2022-03-27,Puente Alto,Puente Alto,23.0,validado,buena,3,6,23.0,15.29,buena
2022-03-28,Puente Alto,Puente Alto,16.0,validado,buena,3,0,23.0,16.14,buena
2022-03-29,Puente Alto,Puente Alto,16.0,validado,buena,3,1,16.0,16.57,buena
2022-03-30,Puente Alto,Puente Alto,17.0,validado,buena,3,2,16.0,17.0,buena
2022-03-31,Puente Alto,Puente Alto,13.0,validado,buena,3,3,17.0,18.14,buena
2022-04-01,Puente Alto,Puente Alto,22.0,validado,buena,4,4,13.0,18.0,buena
2022-04-02,Puente Alto,Puente Alto,19.0,validado,buena,4,5,22.0,18.57,buena
2022-04-03,Puente Alto,Puente Alto,18.0,validado,buena,4,6,19.0,18.0,buena
2022-04-04,Puente Alto,Puente Alto,18.0,validado,buena,4,0,18.0,17.29,buena
2022-04-05,Puente Alto,Puente Alto,18.0,validado,buena,4,1,18.0,17.57,buena
2022-04-06,Puente Alto,Puente Alto,16.0,validado,buena,4,2,18.0,17.86,buena
2022-04-07,Puente Alto,Puente Alto,17.0,validado,buena,4,3,16.0,17.71,buena
2022-04-08,Puente Alto,Puente Alto,18.0,validado,buena,4,4,17.0,18.29,buena
2022-04-09,Puente Alto,Puente Alto,17.0,validado,buena,4,5,18.0,17.71,buena
2022-04-10,Puente Alto,Puente Alto,15.0,validado,buena,4,6,17.0,17.43,buena
2022-04-11,Puente Alto,Puente Alto,13.0,validado,buena,4,0,15.0,17.0,buena
2022-04-12,Puente Alto,Puente Alto,17.0,validado,buena,4,1,13.0,16.29,buena
2022-04-13,Puente Alto,Puente Alto,19.0,validado,buena,4,2,17.0,16.14,buena
2022-04-14,Puente Alto,Puente Alto,18.0,validado,buena,4,3,19.0,16.57,buena
2022-04-15,Puente Alto,Puente Alto,21.0,validado,buena,4,4,18.0,16.71,regular
2022-04-16,Puente Alto,Puente Alto,41.0,validado,regular,4,5,21.0,17.14,regular
2022-04-17,Puente Alto,Puente Alto,28.0,validado,regular,4,6,41.0,20.57,regular
2022-04-18,Puente Alto,Puente Alto,30.0,validado,regular,4,0,28.0,22.43,buena
2022-04-19,Puente Alto,Puente Alto,24.0,validado,buena,4,1,30.0,24.86,buena
2022-04-20,Puente Alto,Puente Alto,24.0,validado,buena,4,2,24.0,25.86,buena
2022-04-21,Puente Alto,Puente Alto,23.0,validado,buena,4,3,24.0,26.57,buena
2022-04-22,Puente Alto,Puente Alto,18.0,validado,buena,4,4,23.0,27.29,buena
2022-04-23,Puente Alto,Puente Alto,17.0,validado,buena,4,5,18.0,26.86,buena
2022-04-24,Puente Alto,Puente Alto,14.0,validado,buena,4,6,17.0,23.43,buena
2022-04-25,Puente Alto,Puente Alto,8.0,validado,buena,4,0,14.0,21.43,buena
2022-04-26,Puente Alto,Puente Alto,5.0,validado,buena,4,1,8.0,18.29,buena
2022-04-27,Puente Alto,Puente Alto,12.0,validado,buena,4,2,5.0,15.57,regular
2022-04-28,Puente Alto,Puente Alto,27.0,validado,regular,4,3,12.0,13.86,regular
2022-04-29,Puente Alto,Puente Alto,39.0,validado,regular,4,4,27.0,14.43,regular
2022-04-30,Puente Alto,Puente Alto,29.0,validado,regular,4,5,39.0,17.43,regular
2022-05-01,Puente Alto,Puente Alto,27.0,validado,regular,5,6,29.0,19.14,regular
2022-05-02,Puente Alto,Puente Alto,28.0,validado,regular,5,0,27.0,21.0,buena
2022-05-03,Puente Alto,Puente Alto,22.0,validado,buena,5,1,28.0,23.86,buena
2022-05-04,Puente Alto,Puente Alto,25.0,validado,buena,5,2,22.0,26.29,regular
2022-05-05,Puente Alto,Puente Alto,47.0,validado,regular,5,3,25.0,28.14,mala
2022-05-06,Puente Alto,Puente Alto,57.0,validado,mala,5,4,47.0,31.0,regular
2022-05-07,Puente Alto,Puente Alto,37.0,validado,regular,5,5,57.0,33.57,regular
2022-05-08,Puente Alto,Puente Alto,29.0,validado,regular,5,6,37.0,34.71,regular
2022-05-09,Puente Alto,Puente Alto,38.0,validado,regular,5,0,29.0,35.0,regular
2022-05-10,Puente Alto,Puente Alto,36.0,validado,regular,5,1,38.0,36.43,mala
2022-05-11,Puente Alto,Puente Alto,53.0,validado,mala,5,2,36.0,38.43,mala
2022-05-12,Puente Alto,Puente Alto,56.0,validado,mala,5,3,53.0,42.43,regular
2022-05-13,Puente Alto,Puente Alto,46.0,validado,regular,5,4,56.0,43.71,regular
2022-05-14,Puente Alto,Puente Alto,41.0,validado,regular,5,5,46.0,42.14,regular
2022-05-15,Puente Alto,Puente Alto,33.0,validado,regular,5,6,41.0,42.71,regular
2022-05-16,Puente Alto,Puente Alto,43.0,validado,regular,5,0,33.0,43.29,mala
2022-05-17,Puente Alto,Puente Alto,61.0,validado,mala,5,1,43.0,44.0,mala
2022-05-18,Puente Alto,Puente Alto,66.0,validado,mala,5,2,61.0,47.57,regular
2022-05-19,Puente Alto,Puente Alto,36.0,validado,regular,5,3,66.0,49.43,regular
2022-05-20,Puente Alto,Puente Alto,28.0,validado,regular,5,4,36.0,46.57,regular
2022-05-21,Puente Alto,Puente Alto,29.0,validado,regular,5,5,28.0,44.0,regular
2022-05-22,Puente Alto,Puente Alto,31.0,validado,regular,5,6,29.0,42.29,regular
2022-05-23,Puente Alto,Puente Alto,27.0,validado,regular,5,0,31.0,42.0,buena
2022-05-24,Puente Alto,Puente Alto,25.0,validado,buena,5,1,27.0,39.71,regular
2022-05-25,Puente Alto,Puente Alto,30.0,validado,regular,5,2,25.0,34.57,regular
2022-05-26,Puente Alto,Puente Alto,43.0,validado,regular,5,3,30.0,29.43,mala
2022-05-27,Puente Alto,Puente Alto,66.0,validado,mala,5,4,43.0,30.43,mala
2022-05-28,Puente Alto,Puente Alto,74.0,validado,mala,5,5,66.0,35.86,mala
2022-05-29,Puente Alto,Puente Alto,60.0,validado,mala,5,6,74.0,42.29,regular
2022-05-30,Puente Alto,Puente Alto,39.0,validado,regular,5,0,60.0,46.43,regular
2022-05-31,Puente Alto,Puente Alto,40.0,validado,regular,5,1,39.0,48.14,regular
2022-06-01,Puente Alto,Puente Alto,31.0,validado,regular,6,2,40.0,50.29,regular
2022-06-02,Puente Alto,Puente Alto,37.0,validado,regular,6,3,31.0,50.43,buena
2022-06-03,Puente Alto,Puente Alto,20.0,validado,buena,6,4,37.0,49.57,buena
2022-06-04,Puente Alto,Puente Alto,6.0,validado,buena,6,5,20.0,43.0,buena
2022-06-05,Puente Alto,Puente Alto,11.0,validado,buena,6,6,6.0,33.29,buena
2022-06-06,Puente Alto,Puente Alto,22.0,validado,buena,6,0,11.0,26.29,regular
2022-06-07,Puente Alto,Puente Alto,35.0,validado,regular,6,1,22.0,23.86,regular
2022-06-08,Puente Alto,Puente Alto,41.0,validado,regular,6,2,35.0,23.14,mala
2022-06-09,Puente Alto,Puente Alto,53.0,validado,mala,6,3,41.0,24.57,mala
2022-06-10,Puente Alto,Puente Alto,54.0,validado,mala,6,4,53.0,26.86,mala
2022-06-11,Puente Alto,Puente Alto,58.0,validado,mala,6,5,54.0,31.71,mala
2022-06-12,Puente Alto,Puente Alto,79.0,validado,mala,6,6,58.0,39.14,mala
2022-06-13,Puente Alto,Puente Alto,73.0,validado,mala,6,0,79.0,48.86,regular
2022-06-14,Puente Alto,Puente Alto,37.0,validado,regular,6,1,73.0,56.14,regular
2022-06-15,Puente Alto,Puente Alto,37.0,validado,regular,6,2,37.0,56.43,regular
2022-06-16,Puente Alto,Puente Alto,37.0,validado,regular,6,3,37.0,55.86,regular
2022-06-17,Puente Alto,Puente Alto,42.0,validado,regular,6,4,37.0,53.57,mala
2022-06-18,Puente Alto,Puente Alto,59.0,validado,mala,6,5,42.0,51.86,mala
2022-06-19,Puente Alto,Puente Alto,65.0,validado,mala,6,6,59.0,52.0,mala
2022-06-20,Puente Alto,Puente Alto,59.0,validado,mala,6,0,65.0,50.0,regular
2022-06-21,Puente Alto,Puente Alto,39.0,validado,regular,6,1,59.0,48.0,regular
2022-06-22,Puente Alto,Puente Alto,35.0,validado,regular,6,2,39.0,48.29,buena
2022-06-23,Puente Alto,Puente Alto,12.0,validado,buena,6,3,35.0,48.0,buena
2022-06-24,Puente Alto,Puente Alto,25.0,validado,buena,6,4,12.0,44.43,regular
2022-06-25,Puente Alto,Puente Alto,37.0,validado,regular,6,5,25.0,42.0,regular
2022-06-26,Puente Alto,Puente Alto,43.0,validado,regular,6,6,37.0,38.86,buena
2022-06-27,Puente Alto,Puente Alto,17.0,validado,buena,6,0,43.0,35.71,buena
2022-06-28,Puente Alto,Puente Alto,17.0,validado,buena,6,1,17.0,29.71,regular
2022-06-29,Puente Alto,Puente Alto,30.0,validado,regular,6,2,17.0,26.57,regular
2022-06-30,Puente Alto,Puente Alto,26.0,validado,regular,6,3,30.0,25.86,buena
2022-07-01,Puente Alto,Puente Alto,10.0,validado,buena,7,4,26.0,27.86,buena
2022-07-02,Puente Alto,Puente Alto,20.0,validado,buena,7,5,10.0,25.71,regular
2022-07-03,Puente Alto,Puente Alto,47.0,validado,regular,7,6,20.0,23.29,buena
2022-07-04,Puente Alto,Puente Alto,25.0,validado,buena,7,0,47.0,23.86,regular
2022-07-05,Puente Alto,Puente Alto,26.0,validado,regular,7,1,25.0,25.0,regular
2022-07-06,Puente Alto,Puente Alto,28.0,validado,regular,7,2,26.0,26.29,regular
2022-07-07,Puente Alto,Puente Alto,34.0,validado,regular,7,3,28.0,26.0,buena
2022-07-08,Puente Alto,Puente Alto,23.0,validado,buena,7,4,34.0,27.14,buena
2022-07-09,Puente Alto,Puente Alto,16.0,validado,buena,7,5,23.0,29.0,buena
2022-07-10,Puente Alto,Puente Alto,5.0,validado,buena,7,6,16.0,28.43,buena
2022-07-11,Puente Alto,Puente Alto,8.0,validado,buena,7,0,5.0,22.43,buena
2022-07-12,Puente Alto,Puente Alto,21.0,validado,buena,7,1,8.0,20.0,buena
2022-07-13,Puente Alto,Puente Alto,18.0,validado,buena,7,2,21.0,19.29,buena
2022-07-14,Puente Alto,Puente Alto,9.0,validado,buena,7,3,18.0,17.86,buena
2022-07-15,Puente Alto,Puente Alto,18.0,validado,buena,7,4,9.0,14.29,buena
2022-07-16,Puente Alto,Puente Alto,15.0,validado,buena,7,5,18.0,13.57,regular
2022-07-17,Puente Alto,Puente Alto,32.0,validado,regular,7,6,15.0,13.43,regular
2022-07-18,Puente Alto,Puente Alto,26.0,validado,regular,7,0,32.0,17.29,regular
2022-07-19,Puente Alto,Puente Alto,30.0,validado,regular,7,1,26.0,19.86,regular
2022-07-20,Puente Alto,Puente Alto,33.0,validado,regular,7,2,30.0,21.14,regular
2022-07-21,Puente Alto,Puente Alto,38.0,validado,regular,7,3,33.0,23.29,regular
2022-07-22,Puente Alto,Puente Alto,35.0,validado,regular,7,4,38.0,27.43,regular
2022-07-23,Puente Alto,Puente Alto,39.0,validado,regular,7,5,35.0,29.86,regular
2022-07-24,Puente Alto,Puente Alto,44.0,validado,regular,7,6,39.0,33.29,regular
2022-07-25,Puente Alto,Puente Alto,33.0,validado,regular,7,0,44.0,35.0,regular
2022-07-26,Puente Alto,Puente Alto,26.0,validado,regular,7,1,33.0,36.0,regular
2022-07-27,Puente Alto,Puente Alto,29.0,validado,regular,7,2,26.0,35.43,regular
2022-07-28,Puente Alto,Puente Alto,36.0,validado,regular,7,3,29.0,34.86,regular
2022-07-29,Puente Alto,Puente Alto,37.0,validado,regular,7,4,36.0,34.57,regular
2022-07-30,Puente Alto,Puente Alto,38.0,validado,regular,7,5,37.0,34.86,regular
2022-07-31,Puente Alto,Puente Alto,50.0,validado,regular,7,6,38.0,34.71,regular
2022-08-01,Puente Alto,Puente Alto,48.0,validado,regular,8,0,50.0,35.57,mala
2022-08-02,Puente Alto,Puente Alto,52.0,validado,mala,8,1,48.0,37.71,regular
2022-08-03,Puente Alto,Puente Alto,40.0,validado,regular,8,2,52.0,41.43,regular
2022-08-04,Puente Alto,Puente Alto,32.0,validado,regular,8,3,40.0,43.0,regular
2022-08-05,Puente Alto,Puente Alto,34.0,validado,regular,8,4,32.0,42.43,regular
2022-08-06,Puente Alto,Puente Alto,32.0,validado,regular,8,5,34.0,42.0,buena
2022-08-07,Puente Alto,Puente Alto,8.0,validado,buena,8,6,32.0,41.14,buena
2022-08-08,Puente Alto,Puente Alto,19.0,validado,buena,8,0,8.0,35.14,buena
2022-08-09,Puente Alto,Puente Alto,25.0,validado,buena,8,1,19.0,31.0,buena
2022-08-10,Puente Alto,Puente Alto,19.0,validado,buena,8,2,25.0,27.14,regular
2022-08-11,Puente Alto,Puente Alto,33.0,validado,regular,8,3,19.0,24.14,regular
2022-08-12,Puente Alto,Puente Alto,26.0,validado,regular,8,4,33.0,24.29,regular
2022-08-13,Puente Alto,Puente Alto,34.0,validado,regular,8,5,26.0,23.14,buena
2022-08-14,Puente Alto,Puente Alto,22.0,validado,buena,8,6,34.0,23.43,buena
2022-08-15,Puente Alto,Puente Alto,7.0,validado,buena,8,0,22.0,25.43,regular
2022-08-16,Puente Alto,Puente Alto,27.0,validado,regular,8,1,7.0,23.71,regular
2022-08-19,Puente Alto,Puente Alto,34.0,validado,regular,8,4,27.0,24.0,regular
2022-08-20,Puente Alto,Puente Alto,27.0,validado,regular,8,5,34.0,26.14,regular
2022-08-21,Puente Alto,Puente Alto,39.0,validado,regular,8,6,27.0,25.29,regular
2022-08-22,Puente Alto,Puente Alto,31.0,validado,regular,8,0,39.0,27.14,regular
2022-08-23,Puente Alto,Puente Alto,49.0,validado,regular,8,1,31.0,26.71,regular
2022-08-24,Puente Alto,Puente Alto,50.0,validado,regular,8,2,49.0,30.57,regular
2022-08-25,Puente Alto,Puente Alto,43.0,validado,regular,8,3,50.0,36.71,regular
2022-08-26,Puente Alto,Puente Alto,38.0,validado,regular,8,4,43.0,39.0,regular
2022-08-27,Puente Alto,Puente Alto,41.0,validado,regular,8,5,38.0,39.57,regular
2022-08-28,Puente Alto,Puente Alto,28.0,validado,regular,8,6,41.0,41.57,buena
2022-08-29,Puente Alto,Puente Alto,23.0,validado,buena,8,0,28.0,40.0,buena
2022-08-30,Puente Alto,Puente Alto,25.0,validado,buena,8,1,23.0,38.86,buena
2022-08-31,Puente Alto,Puente Alto,24.0,validado,buena,8,2,25.0,35.43,regular
2022-09-01,Puente Alto,Puente Alto,30.0,validado,regular,9,3,24.0,31.71,regular
2022-09-02,Puente Alto,Puente Alto,40.0,validado,regular,9,4,30.0,29.86,regular
2022-09-03,Puente Alto,Puente Alto,29.0,validado,regular,9,5,40.0,30.14,regular
2022-09-04,Puente Alto,Puente Alto,26.0,validado,regular,9,6,29.0,28.43,regular
2022-09-05,Puente Alto,Puente Alto,27.0,validado,regular,9,0,26.0,28.14,regular
2022-09-06,Puente Alto,Puente Alto,30.0,validado,regular,9,1,27.0,28.71,buena
2022-09-07,Puente Alto,Puente Alto,11.0,validado,buena,9,2,30.0,29.43,buena
2022-09-08,Puente Alto,Puente Alto,9.0,validado,buena,9,3,11.0,27.57,buena
2022-09-09,Puente Alto,Puente Alto,23.0,validado,buena,9,4,9.0,24.57,regular
2022-09-10,Puente Alto,Puente Alto,26.0,validado,regular,9,5,23.0,22.14,buena
2022-09-11,Puente Alto,Puente Alto,12.0,validado,buena,9,6,26.0,21.71,buena
2022-09-12,Puente Alto,Puente Alto,18.0,validado,buena,9,0,12.0,19.71,buena
2022-09-13,Puente Alto,Puente Alto,19.0,validado,buena,9,1,18.0,18.43,buena
2022-09-14,Puente Alto,Puente Alto,22.0,validado,buena,9,2,19.0,16.86,regular
2022-09-15,Puente Alto,Puente Alto,28.0,validado,regular,9,3,22.0,18.43,regular
2022-09-16,Puente Alto,Puente Alto,29.0,validado,regular,9,4,28.0,21.14,buena
2022-09-17,Puente Alto,Puente Alto,16.0,validado,buena,9,5,29.0,22.0,buena
2022-09-18,Puente Alto,Puente Alto,11.0,validado,buena,9,6,16.0,20.57,buena
2022-09-19,Puente Alto,Puente Alto,16.0,validado,buena,9,0,11.0,20.43,buena
2022-09-20,Puente Alto,Puente Alto,9.0,validado,buena,9,1,16.0,20.14,buena
2022-09-21,Puente Alto,Puente Alto,9.0,validado,buena,9,2,9.0,18.71,buena
2022-09-22,Puente Alto,Puente Alto,11.0,validado,buena,9,3,9.0,16.86,buena
2022-09-23,Puente Alto,Puente Alto,20.0,validado,buena,9,4,11.0,14.43,buena
2022-09-24,Puente Alto,Puente Alto,17.0,validado,buena,9,5,20.0,13.14,buena
2022-09-25,Puente Alto,Puente Alto,13.0,validado,buena,9,6,17.0,13.29,buena
2022-09-26,Puente Alto,Puente Alto,22.0,validado,buena,9,0,13.0,13.57,buena
2022-09-27,Puente Alto,Puente Alto,16.0,validado,buena,9,1,22.0,14.43,buena
2022-09-28,Puente Alto,Puente Alto,17.0,validado,buena,9,2,16.0,15.43,buena
2022-09-29,Puente Alto,Puente Alto,21.0,validado,buena,9,3,17.0,16.57,regular
2022-09-30,Puente Alto,Puente Alto,26.0,validado,regular,9,4,21.0,18.0,regular
2022-10-01,Puente Alto,Puente Alto,26.0,validado,regular,10,5,26.0,18.86,buena
2022-10-02,Puente Alto,Puente Alto,22.0,validado,buena,10,6,26.0,20.14,buena
2022-10-03,Puente Alto,Puente Alto,12.0,validado,buena,10,0,22.0,21.43,buena
2022-10-04,Puente Alto,Puente Alto,13.0,validado,buena,10,1,12.0,20.0,buena
2022-10-05,Puente Alto,Puente Alto,12.0,validado,buena,10,2,13.0,19.57,buena
2022-10-06,Puente Alto,Puente Alto,13.0,validado,buena,10,3,12.0,18.86,buena
2022-10-07,Puente Alto,Puente Alto,11.0,validado,buena,10,4,13.0,17.71,buena
2022-10-08,Puente Alto,Puente Alto,8.0,validado,buena,10,5,11.0,15.57,buena
2022-10-09,Puente Alto,Puente Alto,10.0,validado,buena,10,6,8.0,13.0,buena
2022-10-10,Puente Alto,Puente Alto,9.0,validado,buena,10,0,10.0,11.29,buena
2022-10-11,Puente Alto,Puente Alto,15.0,validado,buena,10,1,9.0,10.86,buena
2022-10-12,Puente Alto,Puente Alto,18.0,validado,buena,10,2,15.0,11.14,buena
2022-10-13,Puente Alto,Puente Alto,13.0,validado,buena,10,3,18.0,12.0,buena
2022-10-14,Puente Alto,Puente Alto,14.0,validado,buena,10,4,13.0,12.0,buena
2022-10-15,Puente Alto,Puente Alto,16.0,validado,buena,10,5,14.0,12.43,buena
2022-10-16,Puente Alto,Puente Alto,12.0,validado,buena,10,6,16.0,13.57,buena
2022-10-17,Puente Alto,Puente Alto,9.0,validado,buena,10,0,12.0,13.86,buena
2022-10-18,Puente Alto,Puente Alto,8.0,validado,buena,10,1,9.0,13.86,buena
2022-10-19,Puente Alto,Puente Alto,8.0,validado,buena,10,2,8.0,12.86,buena
2022-10-20,Puente Alto,Puente Alto,10.0,validado,buena,10,3,8.0,11.43,buena
2022-10-21,Puente Alto,Puente Alto,11.0,validado,buena,10,4,10.0,11.0,buena
2022-10-22,Puente Alto,Puente Alto,10.0,validado,buena,10,5,11.0,10.57,buena
2022-10-23,Puente Alto,Puente Alto,10.0,validado,buena,10,6,10.0,9.71,buena
2022-10-24,Puente Alto,Puente Alto,10.0,validado,buena,10,0,10.0,9.43,buena
2022-10-25,Puente Alto,Puente Alto,7.0,validado,buena,10,1,10.0,9.57,buena
2022-10-26,Puente Alto,Puente Alto,8.0,validado,buena,10,2,7.0,9.43,buena
2022-10-27,Puente Alto,Puente Alto,9.0,validado,buena,10,3,8.0,9.43,buena
2022-10-28,Puente Alto,Puente Alto,14.0,validado,buena,10,4,9.0,9.29,buena
2022-10-29,Puente Alto,Puente Alto,13.0,validado,buena,10,5,14.0,9.71,buena
2022-10-30,Puente Alto,Puente Alto,5.0,validado,buena,10,6,13.0,10.14,buena
2022-10-31,Puente Alto,Puente Alto,10.0,validado,buena,10,0,5.0,9.43,buena
2022-11-01,Puente Alto,Puente Alto,9.0,validado,buena,11,1,10.0,9.43,buena
2022-11-02,Puente Alto,Puente Alto,13.0,validado,buena,11,2,9.0,9.71,buena
2022-11-03,Puente Alto,Puente Alto,15.0,validado,buena,11,3,13.0,10.43,buena
2022-11-04,Puente Alto,Puente Alto,19.0,validado,buena,11,4,15.0,11.29,buena
2022-11-05,Puente Alto,Puente Alto,13.0,validado,buena,11,5,19.0,12.0,buena
2022-11-06,Puente Alto,Puente Alto,16.0,validado,buena,11,6,13.0,12.0,buena
