fecha,estacion,comuna,mp25,estado_registro,nivel_calidad_aire,mes,dia_semana,mp25_dia_anterior,mp25_promedio_7d,temperatura_max,temperatura_min,temperatura_promedio,humedad_relativa,velocidad_viento,precipitacion,nivel_calidad_aire_dia_siguiente
2022-01-25,Puente Alto,Puente Alto,11.0,validado,buena,1,1,13.0,10.86,28.1,14.9,21.2,47,10.6,0.0,buena
2022-01-26,Puente Alto,Puente Alto,15.0,validado,buena,1,2,11.0,11.14,27.6,14.1,19.6,62,9.9,0.0,buena
2022-01-27,Puente Alto,Puente Alto,13.0,validado,buena,1,3,15.0,11.71,26.9,14.1,19.3,63,11.6,0.0,buena
2022-01-28,Puente Alto,Puente Alto,16.0,validado,buena,1,4,13.0,11.86,27.6,13.0,18.8,67,11.7,0.0,buena
2022-01-29,Puente Alto,Puente Alto,15.0,validado,buena,1,5,16.0,12.57,26.6,13.3,18.7,65,12.4,0.0,buena
2022-01-30,Puente Alto,Puente Alto,15.0,validado,buena,1,6,15.0,13.43,27.4,12.0,19.0,67,12.5,0.0,buena
2022-01-31,Puente Alto,Puente Alto,15.0,validado,buena,1,0,15.0,14.0,29.1,14.6,21.1,52,14.1,0.0,buena
2022-02-01,Puente Alto,Puente Alto,14.0,validado,buena,2,1,15.0,14.29,27.0,15.1,20.1,51,13.6,0.0,buena
2022-02-02,Puente Alto,Puente Alto,15.0,validado,buena,2,2,14.0,14.71,27.8,14.3,20.3,54,13.0,0.0,buena
2022-02-03,Puente Alto,Puente Alto,14.0,validado,buena,2,3,15.0,14.71,26.1,12.6,18.9,63,11.9,0.0,buena
2022-02-04,Puente Alto,Puente Alto,12.0,validado,buena,2,4,14.0,14.86,27.4,13.4,19.8,62,13.4,0.2,buena
2022-02-05,Puente Alto,Puente Alto,11.0,validado,buena,2,5,12.0,14.29,29.2,15.3,22.3,47,10.4,0.0,buena
2022-02-06,Puente Alto,Puente Alto,13.0,validado,buena,2,6,11.0,13.71,32.0,16.3,23.2,39,14.4,0.0,buena
2022-02-07,Puente Alto,Puente Alto,14.0,validado,buena,2,0,13.0,13.43,29.1,16.1,21.8,50,11.7,0.0,buena
2022-02-08,Puente Alto,Puente Alto,16.0,validado,buena,2,1,14.0,13.29,30.9,15.5,22.3,48,13.0,0.0,buena
2022-02-09,Puente Alto,Puente Alto,20.0,validado,buena,2,2,16.0,13.57,29.1,14.9,21.7,51,11.8,0.0,buena
2022-02-10,Puente Alto,Puente Alto,22.0,validado,buena,2,3,20.0,14.29,25.9,13.9,18.6,69,11.7,0.0,buena
2022-02-11,Puente Alto,Puente Alto,22.0,validado,buena,2,4,22.0,15.43,28.1,13.6,20.1,57,10.4,0.0,buena
2022-02-12,Puente Alto,Puente Alto,25.0,validado,buena,2,5,22.0,16.86,30.7,15.5,22.3,39,13.0,0.0,buena
2022-02-13,Puente Alto,Puente Alto,20.0,validado,buena,2,6,25.0,18.86,27.2,15.2,20.2,55,13.7,0.0,buena
2022-02-14,Puente Alto,Puente Alto,20.0,validado,buena,2,0,20.0,19.86,28.5,14.5,19.6,69,11.9,0.0,buena
2022-02-15,Puente Alto,Puente Alto,21.0,validado,buena,2,1,20.0,20.71,26.6,14.7,19.4,67,11.4,0.0,buena
2022-02-16,Puente Alto,Puente Alto,19.0,validado,buena,2,2,21.0,21.43,30.3,14.7,21.9,54,10.8,0.0,buena
2022-02-17,Puente Alto,Puente Alto,17.0,validado,buena,2,3,19.0,21.29,31.2,16.2,23.1,39,10.6,0.0,buena
2022-02-18,Puente Alto,Puente Alto,20.0,validado,buena,2,4,17.0,20.57,29.5,14.9,21.8,39,14.1,0.0,buena
2022-02-19,Puente Alto,Puente Alto,20.0,validado,buena,2,5,20.0,20.29,29.0,13.9,21.0,41,15.9,0.0,buena
2022-02-20,Puente Alto,Puente Alto,14.0,validado,buena,2,6,20.0,19.57,26.4,14.7,19.7,49,12.4,0.1,buena
2022-02-21,Puente Alto,Puente Alto,10.0,validado,buena,2,0,14.0,18.71,25.3,12.5,17.7,62,12.9,0.0,buena
2022-02-22,Puente Alto,Puente Alto,9.0,validado,buena,2,1,10.0,17.29,24.9,11.7,17.1,64,13.5,0.0,buena
2022-02-23,Puente Alto,Puente Alto,9.0,validado,buena,2,2,9.0,15.57,23.2,11.4,15.1,68,13.6,1.8,buena
2022-02-24,Puente Alto,Puente Alto,9.0,validado,buena,2,3,9.0,14.14,25.4,10.5,17.8,52,11.4,0.0,buena
2022-02-25,Puente Alto,Puente Alto,13.0,validado,buena,2,4,9.0,13.0,28.0,12.4,19.4,50,11.8,0.0,buena
2022-02-26,Puente Alto,Puente Alto,11.0,validado,buena,2,5,13.0,12.0,27.3,13.8,20.1,48,9.6,0.0,buena
2022-02-27,Puente Alto,Puente Alto,8.0,validado,buena,2,6,11.0,10.71,26.2,11.7,18.7,55,10.2,0.0,buena
2022-02-28,Puente Alto,Puente Alto,10.0,validado,buena,2,0,8.0,9.86,28.9,12.6,20.6,39,10.7,0.0,buena
2022-03-01,Puente Alto,Puente Alto,16.0,validado,buena,3,1,10.0,9.86,29.9,13.8,22.0,29,11.2,0.0,buena
2022-03-02,Puente Alto,Puente Alto,17.0,validado,buena,3,2,16.0,10.86,30.0,15.9,22.2,40,11.5,0.0,buena
2022-03-03,Puente Alto,Puente Alto,19.0,validado,buena,3,3,17.0,12.0,27.9,16.2,21.1,54,11.1,0.0,buena
2022-03-04,Puente Alto,Puente Alto,14.0,validado,buena,3,4,19.0,13.43,28.3,14.9,20.7,59,11.5,0.2,buena
2022-03-05,Puente Alto,Puente Alto,14.0,validado,buena,3,5,14.0,13.57,28.6,15.7,21.1,52,13.1,0.0,buena
2022-03-06,Puente Alto,Puente Alto,10.0,validado,buena,3,6,14.0,14.0,23.3,14.3,18.1,45,10.7,0.1,buena
2022-03-07,Puente Alto,Puente Alto,9.0,validado,buena,3,0,10.0,14.29,29.0,11.2,19.6,39,8.5,0.0,buena
2022-03-15,Puente Alto,Puente Alto,25.0,validado,buena,3,1,9.0,14.14,27.9,17.6,21.7,53,9.8,0.0,buena
2022-03-16,Puente Alto,Puente Alto,25.0,validado,buena,3,2,25.0,15.43,27.2,15.2,19.8,63,10.9,0.0,regular
2022-03-17,Puente Alto,Puente Alto,27.0,validado,regular,3,3,25.0,16.57,23.7,12.6,17.6,72,12.3,0.0,buena
2022-03-18,Puente Alto,Puente Alto,25.0,validado,buena,3,4,27.0,17.71,28.8,12.7,21.1,41,11.7,0.0,buena
2022-03-19,Puente Alto,Puente Alto,20.0,validado,buena,3,5,25.0,19.29,29.0,15.9,21.7,27,9.5,0.0,buena
2022-03-20,Puente Alto,Puente Alto,17.0,validado,buena,3,6,20.0,20.14,25.5,13.8,19.9,37,12.1,0.0,buena
2022-03-21,Puente Alto,Puente Alto,13.0,validado,buena,3,0,17.0,21.14,24.1,11.1,17.1,49,10.9,0.0,buena
2022-03-22,Puente Alto,Puente Alto,13.0,validado,buena,3,1,13.0,21.71,26.7,13.5,18.5,47,10.9,0.0,buena
2022-03-23,Puente Alto,Puente Alto,9.0,validado,buena,3,2,13.0,20.0,20.5,9.7,14.6,59,13.0,0.0,buena
2022-03-24,Puente Alto,Puente Alto,14.0,validado,buena,3,3,9.0,17.71,27.7,10.2,18.8,39,8.1,0.0,buena
2022-03-25,Puente Alto,Puente Alto,18.0,validado,buena,3,4,14.0,15.86,28.7,13.8,20.3,31,10.6,0.0,buena
2022-03-26,Puente Alto,Puente Alto,23.0,validado,buena,3,5,18.0,14.86,23.7,13.2,17.1,59,11.5,0.0,buena
2022-03-27,Puente Alto,Puente Alto,23.0,validado,buena,3,6,23.0,15.29,27.2,14.3,19.9,45,8.4,0.0,buena
2022-03-28,Puente Alto,Puente Alto,16.0,validado,buena,3,0,23.0,16.14,25.9,14.5,19.6,42,11.3,0.0,buena
2022-03-29,Puente Alto,Puente Alto,16.0,validado,buena,3,1,16.0,16.57,24.6,11.9,17.4,46,13.3,0.0,buena
2022-03-30,Puente Alto,Puente Alto,17.0,validado,buena,3,2,16.0,17.0,26.2,10.0,17.8,18,9.7,0.0,buena
2022-03-31,Puente Alto,Puente Alto,13.0,validado,buena,3,3,17.0,18.14,26.7,10.8,19.0,18,8.0,0.0,buena
2022-04-01,Puente Alto,Puente Alto,22.0,validado,buena,4,4,13.0,18.0,26.6,11.4,18.7,29,9.4,0.0,buena
2022-04-02,Puente Alto,Puente Alto,19.0,validado,buena,4,5,22.0,18.57,24.4,12.0,18.0,48,9.4,0.0,buena
2022-04-03,Puente Alto,Puente Alto,18.0,validado,buena,4,6,19.0,18.0,23.5,10.2,16.7,59,8.9,0.0,buena
2022-04-04,Puente Alto,Puente Alto,18.0,validado,buena,4,0,18.0,17.29,27.7,11.7,19.6,35,9.2,0.0,buena
2022-04-05,Puente Alto,Puente Alto,18.0,validado,buena,4,1,18.0,17.57,28.5,13.5,20.2,33,10.9,0.0,buena
2022-04-06,Puente Alto,Puente Alto,16.0,validado,buena,4,2,18.0,17.86,27.6,12.8,19.6,40,8.0,0.0,buena
2022-04-07,Puente Alto,Puente Alto,17.0,validado,buena,4,3,16.0,17.71,27.6,12.6,20.7,36,6.7,0.0,buena
2022-04-08,Puente Alto,Puente Alto,18.0,validado,buena,4,4,17.0,18.29,26.7,12.3,19.0,43,8.3,0.0,buena
2022-04-09,Puente Alto,Puente Alto,17.0,validado,buena,4,5,18.0,17.71,21.8,10.5,14.9,69,11.2,0.0,buena
2022-04-10,Puente Alto,Puente Alto,15.0,validado,buena,4,6,17.0,17.43,19.7,10.1,13.6,68,12.1,0.0,buena
2022-04-11,Puente Alto,Puente Alto,13.0,validado,buena,4,0,15.0,17.0,21.4,8.6,14.4,56,10.5,0.0,buena
2022-04-12,Puente Alto,Puente Alto,17.0,validado,buena,4,1,13.0,16.29,20.3,10.0,15.1,43,8.2,0.0,buena
2022-04-13,Puente Alto,Puente Alto,19.0,validado,buena,4,2,17.0,16.14,27.1,9.7,17.9,24,7.1,0.0,buena
2022-04-14,Puente Alto,Puente Alto,18.0,validado,buena,4,3,19.0,16.57,22.9,9.8,15.9,39,8.1,0.0,buena
2022-04-15,Puente Alto,Puente Alto,21.0,validado,buena,4,4,18.0,16.71,18.5,8.3,12.6,78,7.3,0.0,regular
2022-04-16,Puente Alto,Puente Alto,41.0,validado,regular,4,5,21.0,17.14,22.4,9.9,16.1,55,7.2,0.0,regular
2022-04-17,Puente Alto,Puente Alto,28.0,validado,regular,4,6,41.0,20.57,23.8,13.1,17.4,43,8.9,0.0,regular
2022-04-18,Puente Alto,Puente Alto,30.0,validado,regular,4,0,28.0,22.43,23.4,12.1,17.0,43,8.0,0.0,buena
2022-04-19,Puente Alto,Puente Alto,24.0,validado,buena,4,1,30.0,24.86,20.6,11.2,15.0,66,10.1,0.0,buena
2022-04-20,Puente Alto,Puente Alto,24.0,validado,buena,4,2,24.0,25.86,21.2,8.5,14.8,64,9.5,0.0,buena
2022-04-21,Puente Alto,Puente Alto,23.0,validado,buena,4,3,24.0,26.57,18.7,9.7,14.0,53,8.7,0.3,buena
2022-04-22,Puente Alto,Puente Alto,18.0,validado,buena,4,4,23.0,27.29,19.4,11.1,14.6,64,9.8,3.0,buena
2022-04-23,Puente Alto,Puente Alto,17.0,validado,buena,4,5,18.0,26.86,21.9,10.1,15.6,52,8.7,0.0,buena
2022-04-24,Puente Alto,Puente Alto,14.0,validado,buena,4,6,17.0,23.43,19.0,11.7,14.9,60,9.7,0.0,buena
2022-04-25,Puente Alto,Puente Alto,8.0,validado,buena,4,0,14.0,21.43,20.5,9.5,14.9,66,9.4,0.1,buena
2022-04-26,Puente Alto,Puente Alto,5.0,validado,buena,4,1,8.0,18.29,15.0,9.4,12.3,82,14.5,27.9,buena
2022-04-27,Puente Alto,Puente Alto,12.0,validado,buena,4,2,5.0,15.57,13.5,6.5,9.8,83,15.6,18.2,regular
2022-04-28,Puente Alto,Puente Alto,27.0,validado,regular,4,3,12.0,13.86,19.9,4.5,11.8,61,7.3,0.0,regular
2022-04-29,Puente Alto,Puente Alto,39.0,validado,regular,4,4,27.0,14.43,22.7,8.8,15.0,45,8.1,0.0,regular
2022-04-30,Puente Alto,Puente Alto,29.0,validado,regular,4,5,39.0,17.43,19.4,8.4,14.0,54,6.3,0.0,regular
2022-05-01,Puente Alto,Puente Alto,27.0,validado,regular,5,6,29.0,19.14,18.6,8.5,12.6,61,7.5,0.0,regular
2022-05-02,Puente Alto,Puente Alto,28.0,validado,regular,5,0,27.0,21.0,19.3,7.4,12.9,57,6.5,0.0,buena
2022-05-03,Puente Alto,Puente Alto,22.0,validado,buena,5,1,28.0,23.86,22.8,7.9,15.4,42,5.6,0.0,buena
2022-05-04,Puente Alto,Puente Alto,25.0,validado,buena,5,2,22.0,26.29,22.8,10.6,16.1,49,6.3,0.0,regular
2022-05-05,Puente Alto,Puente Alto,47.0,validado,regular,5,3,25.0,28.14,18.2,8.7,13.3,65,6.0,0.0,mala
2022-05-06,Puente Alto,Puente Alto,57.0,validado,mala,5,4,47.0,31.0,21.9,10.3,15.5,49,5.9,0.0,regular
2022-05-07,Puente Alto,Puente Alto,37.0,validado,regular,5,5,57.0,33.57,19.1,8.4,13.1,60,7.4,0.0,regular
2022-05-08,Puente Alto,Puente Alto,29.0,validado,regular,5,6,37.0,34.71,13.1,8.7,10.4,90,6.3,0.1,regular
2022-05-09,Puente Alto,Puente Alto,38.0,validado,regular,5,0,29.0,35.0,19.0,8.0,13.7,66,7.1,0.0,regular
2022-05-10,Puente Alto,Puente Alto,36.0,validado,regular,5,1,38.0,36.43,21.2,9.1,15.2,55,6.7,0.0,mala
2022-05-11,Puente Alto,Puente Alto,53.0,validado,mala,5,2,36.0,38.43,20.6,12.2,15.8,57,6.1,0.3,mala
2022-05-12,Puente Alto,Puente Alto,56.0,validado,mala,5,3,53.0,42.43,16.1,12.0,14.5,67,5.4,0.0,regular
2022-05-13,Puente Alto,Puente Alto,46.0,validado,regular,5,4,56.0,43.71,18.4,8.0,13.5,71,5.4,0.0,regular
2022-05-14,Puente Alto,Puente Alto,41.0,validado,regular,5,5,46.0,42.14,18.4,8.3,13.1,58,6.1,0.0,regular
2022-05-15,Puente Alto,Puente Alto,33.0,validado,regular,5,6,41.0,42.71,21.5,6.6,14.0,50,6.2,0.0,regular
2022-05-16,Puente Alto,Puente Alto,43.0,validado,regular,5,0,33.0,43.29,18.2,7.3,12.4,53,6.6,0.0,mala
2022-05-17,Puente Alto,Puente Alto,61.0,validado,mala,5,1,43.0,44.0,19.1,7.0,12.3,48,7.1,0.0,mala
2022-05-18,Puente Alto,Puente Alto,66.0,validado,mala,5,2,61.0,47.57,21.2,6.5,13.0,55,10.9,0.0,regular
2022-05-19,Puente Alto,Puente Alto,36.0,validado,regular,5,3,66.0,49.43,16.6,8.8,12.7,67,8.0,0.3,regular
2022-05-20,Puente Alto,Puente Alto,28.0,validado,regular,5,4,36.0,46.57,16.2,8.2,13.0,66,10.8,0.5,regular
2022-05-21,Puente Alto,Puente Alto,29.0,validado,regular,5,5,28.0,44.0,18.6,5.0,11.8,51,6.9,0.0,regular
2022-05-22,Puente Alto,Puente Alto,31.0,validado,regular,5,6,29.0,42.29,15.6,9.4,12.1,62,5.8,0.0,regular
2022-05-23,Puente Alto,Puente Alto,27.0,validado,regular,5,0,31.0,42.0,15.8,11.4,13.3,65,7.9,0.1,buena
2022-05-24,Puente Alto,Puente Alto,25.0,validado,buena,5,1,27.0,39.71,17.7,9.0,13.5,68,6.9,0.0,regular
2022-05-25,Puente Alto,Puente Alto,30.0,validado,regular,5,2,25.0,34.57,17.6,7.7,13.1,65,6.2,0.0,regular
2022-05-26,Puente Alto,Puente Alto,43.0,validado,regular,5,3,30.0,29.43,16.6,7.7,11.3,64,7.5,0.0,mala
2022-05-27,Puente Alto,Puente Alto,66.0,validado,mala,5,4,43.0,30.43,14.4,7.3,11.2,65,4.7,0.0,mala
2022-05-28,Puente Alto,Puente Alto,74.0,validado,mala,5,5,66.0,35.86,12.0,5.6,10.4,64,4.7,1.0,mala
2022-05-29,Puente Alto,Puente Alto,60.0,validado,mala,5,6,74.0,42.29,12.8,3.3,7.8,70,8.2,0.0,regular
2022-05-30,Puente Alto,Puente Alto,39.0,validado,regular,5,0,60.0,46.43,14.2,1.5,7.7,56,6.2,0.0,regular
2022-05-31,Puente Alto,Puente Alto,40.0,validado,regular,5,1,39.0,48.14,11.9,2.5,6.6,54,9.1,0.0,regular
2022-06-01,Puente Alto,Puente Alto,31.0,validado,regular,6,2,40.0,50.29,10.7,0.9,5.5,63,7.2,0.0,regular
2022-06-02,Puente Alto,Puente Alto,37.0,validado,regular,6,3,31.0,50.43,11.9,5.6,8.5,76,7.2,13.3,buena
2022-06-03,Puente Alto,Puente Alto,20.0,validado,buena,6,4,37.0,49.57,10.0,7.9,8.9,72,14.8,13.8,buena
2022-06-04,Puente Alto,Puente Alto,6.0,validado,buena,6,5,20.0,43.0,13.8,8.7,11.0,69,17.2,2.7,buena
2022-06-05,Puente Alto,Puente Alto,11.0,validado,buena,6,6,6.0,33.29,14.9,6.0,10.3,74,10.5,3.6,buena
2022-06-06,Puente Alto,Puente Alto,22.0,validado,buena,6,0,11.0,26.29,17.5,4.1,10.3,57,6.2,0.0,regular
2022-06-07,Puente Alto,Puente Alto,35.0,validado,regular,6,1,22.0,23.86,18.1,5.5,11.1,54,5.1,0.0,regular
2022-06-08,Puente Alto,Puente Alto,41.0,validado,regular,6,2,35.0,23.14,14.2,5.9,10.0,71,7.9,0.0,mala
2022-06-09,Puente Alto,Puente Alto,53.0,validado,mala,6,3,41.0,24.57,16.2,5.6,10.3,63,6.9,0.0,mala
2022-06-10,Puente Alto,Puente Alto,54.0,validado,mala,6,4,53.0,26.86,21.7,5.6,12.0,46,8.6,0.0,mala
2022-06-11,Puente Alto,Puente Alto,58.0,validado,mala,6,5,54.0,31.71,20.2,6.5,11.7,48,7.9,0.0,mala
2022-06-12,Puente Alto,Puente Alto,79.0,validado,mala,6,6,58.0,39.14,17.8,4.3,11.0,52,6.5,0.0,mala
2022-06-13,Puente Alto,Puente Alto,73.0,validado,mala,6,0,79.0,48.86,16.6,5.3,9.5,62,7.6,0.0,regular
2022-06-14,Puente Alto,Puente Alto,37.0,validado,regular,6,1,73.0,56.14,13.3,5.0,8.9,80,6.5,0.0,regular
2022-06-15,Puente Alto,Puente Alto,37.0,validado,regular,6,2,37.0,56.43,12.1,3.6,7.7,75,6.0,0.3,regular
2022-06-16,Puente Alto,Puente Alto,37.0,validado,regular,6,3,37.0,55.86,11.1,5.2,8.2,80,7.6,4.7,regular
2022-06-17,Puente Alto,Puente Alto,42.0,validado,regular,6,4,37.0,53.57,13.7,0.7,6.8,58,6.5,0.0,mala
2022-06-18,Puente Alto,Puente Alto,59.0,validado,mala,6,5,42.0,51.86,15.0,3.9,9.9,48,5.8,0.0,mala
2022-06-19,Puente Alto,Puente Alto,65.0,validado,mala,6,6,59.0,52.0,13.9,7.5,10.4,57,5.0,0.0,mala
2022-06-20,Puente Alto,Puente Alto,59.0,validado,mala,6,0,65.0,50.0,12.5,6.9,9.8,64,6.1,0.0,regular
2022-06-21,Puente Alto,Puente Alto,39.0,validado,regular,6,1,59.0,48.0,10.4,4.6,7.7,76,7.3,0.0,regular
2022-06-22,Puente Alto,Puente Alto,35.0,validado,regular,6,2,39.0,48.29,12.6,5.8,8.6,83,8.4,3.2,buena
2022-06-23,Puente Alto,Puente Alto,12.0,validado,buena,6,3,35.0,48.0,10.9,6.2,8.3,78,9.8,16.1,buena
2022-06-24,Puente Alto,Puente Alto,25.0,validado,buena,6,4,12.0,44.43,13.5,5.3,9.1,70,5.4,0.0,regular
2022-06-25,Puente Alto,Puente Alto,37.0,validado,regular,6,5,25.0,42.0,15.6,6.4,10.6,60,5.8,0.0,regular
2022-06-26,Puente Alto,Puente Alto,43.0,validado,regular,6,6,37.0,38.86,14.1,4.3,8.9,68,5.4,0.2,buena
2022-06-27,Puente Alto,Puente Alto,17.0,validado,buena,6,0,43.0,35.71,12.9,3.5,7.2,73,8.9,5.9,buena
2022-06-28,Puente Alto,Puente Alto,17.0,validado,buena,6,1,17.0,29.71,16.5,-0.2,8.7,66,7.9,0.0,regular
2022-06-29,Puente Alto,Puente Alto,30.0,validado,regular,6,2,17.0,26.57,15.9,7.5,10.9,57,7.1,0.0,regular
2022-06-30,Puente Alto,Puente Alto,26.0,validado,regular,6,3,30.0,25.86,17.4,7.2,11.9,63,6.1,0.0,buena
2022-07-01,Puente Alto,Puente Alto,10.0,validado,buena,7,4,26.0,27.86,8.4,2.8,6.3,90,12.6,29.4,buena
2022-07-02,Puente Alto,Puente Alto,20.0,validado,buena,7,5,10.0,25.71,11.3,-0.3,4.7,73,11.9,0.0,regular
2022-07-03,Puente Alto,Puente Alto,47.0,validado,regular,7,6,20.0,23.29,10.1,0.9,5.3,63,6.5,0.0,buena
2022-07-04,Puente Alto,Puente Alto,25.0,validado,buena,7,0,47.0,23.86,11.9,-0.1,6.0,58,5.8,0.0,regular
2022-07-05,Puente Alto,Puente Alto,26.0,validado,regular,7,1,25.0,25.0,12.6,-0.7,5.6,55,6.3,0.0,regular
2022-07-06,Puente Alto,Puente Alto,28.0,validado,regular,7,2,26.0,26.29,7.3,-0.6,4.6,75,11.3,19.5,regular
2022-07-07,Puente Alto,Puente Alto,34.0,validado,regular,7,3,28.0,26.0,15.7,-1.4,5.0,62,5.1,0.0,buena
2022-07-08,Puente Alto,Puente Alto,23.0,validado,buena,7,4,34.0,27.14,13.3,3.3,8.1,69,20.5,0.8,buena
2022-07-09,Puente Alto,Puente Alto,16.0,validado,buena,7,5,23.0,29.0,11.5,3.4,6.6,69,12.9,21.9,buena
2022-07-10,Puente Alto,Puente Alto,5.0,validado,buena,7,6,16.0,28.43,7.9,3.1,5.5,87,12.1,33.5,buena
2022-07-11,Puente Alto,Puente Alto,8.0,validado,buena,7,0,5.0,22.43,8.2,0.7,4.3,81,7.6,14.1,buena
2022-07-12,Puente Alto,Puente Alto,21.0,validado,buena,7,1,8.0,20.0,14.7,-0.8,7.1,60,5.4,0.0,buena
2022-07-13,Puente Alto,Puente Alto,18.0,validado,buena,7,2,21.0,19.29,11.8,3.9,6.8,69,14.4,1.6,buena
2022-07-14,Puente Alto,Puente Alto,9.0,validado,buena,7,3,18.0,17.86,7.2,0.2,4.0,85,12.0,32.5,buena
2022-07-15,Puente Alto,Puente Alto,18.0,validado,buena,7,4,9.0,14.29,6.0,-1.2,2.5,70,7.3,2.7,buena
2022-07-16,Puente Alto,Puente Alto,15.0,validado,buena,7,5,18.0,13.57,6.6,-1.5,1.5,66,5.8,0.5,regular
2022-07-17,Puente Alto,Puente Alto,32.0,validado,regular,7,6,15.0,13.43,9.0,-2.6,3.9,67,5.1,0.0,regular
2022-07-18,Puente Alto,Puente Alto,26.0,validado,regular,7,0,32.0,17.29,13.2,2.0,6.5,62,5.1,0.0,regular
2022-07-19,Puente Alto,Puente Alto,30.0,validado,regular,7,1,26.0,19.86,16.5,3.3,8.5,57,5.1,0.0,regular
2022-07-20,Puente Alto,Puente Alto,33.0,validado,regular,7,2,30.0,21.14,14.5,5.7,9.3,49,5.1,0.0,regular
2022-07-21,Puente Alto,Puente Alto,38.0,validado,regular,7,3,33.0,23.29,16.5,2.9,8.9,51,6.2,0.0,regular
2022-07-22,Puente Alto,Puente Alto,35.0,validado,regular,7,4,38.0,27.43,18.9,5.8,10.9,56,5.1,0.0,regular
2022-07-23,Puente Alto,Puente Alto,39.0,validado,regular,7,5,35.0,29.86,16.7,5.0,9.5,62,7.7,0.0,regular
2022-07-24,Puente Alto,Puente Alto,44.0,validado,regular,7,6,39.0,33.29,14.9,5.4,9.7,67,7.1,0.0,regular
2022-07-25,Puente Alto,Puente Alto,33.0,validado,regular,7,0,44.0,35.0,14.2,7.0,10.4,69,7.5,0.0,regular
2022-07-26,Puente Alto,Puente Alto,26.0,validado,regular,7,1,33.0,36.0,13.6,5.7,9.6,76,6.3,0.0,regular
2022-07-27,Puente Alto,Puente Alto,29.0,validado,regular,7,2,26.0,35.43,11.9,5.6,8.6,79,7.3,2.0,regular
2022-07-28,Puente Alto,Puente Alto,36.0,validado,regular,7,3,29.0,34.86,15.0,4.6,9.3,76,7.6,0.0,regular
